"key";"scientificName";"decimalLatitude";"decimalLongitude";"issues";"datasetKey";"publishingOrgKey";"installationKey";"publishingCountry";"protocol";"lastCrawled";"lastParsed";"crawlId";"extensions";"basisOfRecord";"taxonKey";"kingdomKey";"phylumKey";"classKey";"orderKey";"familyKey";"genusKey";"speciesKey";"acceptedTaxonKey";"acceptedScientificName";"kingdom";"phylum";"order";"family";"genus";"species";"genericName";"specificEpithet";"taxonRank";"taxonomicStatus";"dateIdentified";"elevation";"elevationAccuracy";"continent";"stateProvince";"year";"month";"day";"eventDate";"lastInterpreted";"license";"identifiers";"facts";"relations";"geodeticDatum";"class";"countryCode";"country";"recordNumber";"identifier";"institutionID";"county";"locality";"verbatimCoordinateSystem";"collectionCode";"gbifID";"occurrenceID";"type";"catalogNumber";"recordedBy";"institutionCode";"previousIdentifications";"occurrenceRemarks";"collectionID";"identifiedBy";"name";"rightsHolder";"municipality";"datasetName";"otherCatalogNumbers";"references";"language";"preparations";"verbatimElevation";"georeferencedDate";"verbatimEventDate";"nomenclaturalCode";"georeferenceProtocol";"endDayOfYear";"startDayOfYear";"georeferenceSources";"higherGeography";"eventRemarks";"accessRights";"individualCount";"habitat";"higherClassification";"taxonID";"identificationID";"modified";"nomenclaturalStatus";"fieldNumber";"ownerInstitutionCode";"bibliographicCitation";"organismID";"datasetID"
"1";"2313475229";"Brocchinia acuminata L.B.Sm.";0.12867;-70.94394;"gass84";"a8f65e0b-5b75-4880-bebc-f9a3efe13ccd";"9d77fdeb-100f-4b29-98ad-4effdd824457";"338bd13b-2c49-466b-9f4f-4a0b79f8ed1a";"CO";"DWC_ARCHIVE";"2020-02-04T14:26:10.127+0000";"2020-02-19T14:11:28.303+0000";20;"none";"PRESERVED_SPECIMEN";5287587;6;7707728;196;1369;3740;2693409;5287587;5287587;"Brocchinia acuminata L.B.Sm.";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Brocchinia";"Brocchinia acuminata";"Brocchinia";"acuminata";"SPECIES";"ACCEPTED";"2018-06-01T00:00:00";604;0;"SOUTH_AMERICA";"Vaupés";2018;2;26;"2018-02-26T00:00:00";"2020-02-19T14:11:28.303+0000";"http://creativecommons.org/licenses/by-nc/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"CO";"Colombia";"49837";"ColombiaBio:SINCHI:Apaporis:COAH:2018:101475";"860061110-3-01";"Pacoa";"comunidad de Morroco, cerro Morroco, vegetación arbustiva sobre afloramiento rocoso";"Grados, minutos, segundos";"COAH";"2313475229";"ColombiaBio:SINCHI:Apaporis:COAH:2018:101475";"PhysicalObject";"101475";"Cárdenas, D.";"Instituto Amazónico de Investigaciones Científicas SINCHI";"Brocchinia acuminata";"Ejemplar Botánico";"Registro Nacional de Colecciones Biológicas: 1";"Aguirre-S., J.";"Brocchinia acuminata L.B.Sm.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"2313477301";"Brocchinia acuminata L.B.Sm.";0.14228;-70.95878;"gass84";"a8f65e0b-5b75-4880-bebc-f9a3efe13ccd";"9d77fdeb-100f-4b29-98ad-4effdd824457";"338bd13b-2c49-466b-9f4f-4a0b79f8ed1a";"CO";"DWC_ARCHIVE";"2020-02-04T14:26:10.127+0000";"2020-02-19T14:11:28.332+0000";20;"none";"PRESERVED_SPECIMEN";5287587;6;7707728;196;1369;3740;2693409;5287587;5287587;"Brocchinia acuminata L.B.Sm.";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Brocchinia";"Brocchinia acuminata";"Brocchinia";"acuminata";"SPECIES";"ACCEPTED";"2018-06-01T00:00:00";170;0;"SOUTH_AMERICA";"Vaupés";2018;2;25;"2018-02-25T00:00:00";"2020-02-19T14:11:28.332+0000";"http://creativecommons.org/licenses/by-nc/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"CO";"Colombia";"21903";"ColombiaBio:SINCHI:Apaporis:COAH:2018:PR-086";"860061110-3-01";"Pacoa";"comunidad de Morroco, cerro Morroco, cuenca del río Cananarí, inmediaciones del PNN Yaigojé-Apaporis, bosque inclinado en la pendiente rocosa subiendo al cerro";"Grados, minutos, segundos";"COAH";"2313477301";"ColombiaBio:SINCHI:Apaporis:COAH:2018:PR-086";"PhysicalObject";"PR-086";"Betancur, J.";"Instituto Amazónico de Investigaciones Científicas SINCHI";"Brocchinia acuminata";"Ejemplar Botánico";"Registro Nacional de Colecciones Biológicas: 1";"J. Aguirre";"Brocchinia acuminata L.B.Sm.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"1424503690";"Brocchinia acuminata L.B.Sm.";-8.158889;-60.172222;"cdround,gass84,muluriiv,preneglat";"4300f8d5-1ae5-49e5-a101-63894b005868";"838537fc-4aeb-4980-8b58-97fbdcd1d91a";"da7fe11a-b42c-46cb-9e9d-02243edb738a";"BR";"DWC_ARCHIVE";"2020-02-14T19:53:59.520+0000";"2020-02-14T20:38:25.140+0000";278;"none";"PRESERVED_SPECIMEN";5287587;6;7707728;196;1369;3740;2693409;5287587;5287587;"Brocchinia acuminata L.B.Sm.";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Brocchinia";"Brocchinia acuminata";"Brocchinia";"acuminata";"SPECIES";"ACCEPTED";NA;1380;NA;NA;"Roraima";2014;11;7;"2014-11-07T00:00:00";"2020-02-14T20:38:25.140+0000";"http://creativecommons.org/licenses/by/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BR";"Brazil";"18443";"urn:catalog:JBRJ:RB:929414";NA;NA;"Parque Nacional do Monte Roraima, Monte Caburaí, próximo da divisa com a Guiana, campos úmidos de Rapatecaeae.";NA;"RB";"1424503690";"urn:catalog:JBRJ:RB:929414";"Physical Object";"RB00929414";"G.Martinelli; M.Nadruz, R.Azoury, R.Forzza, D.Pinheiro";"JBRJ";NA;"heliófila ou ciófila, crescendo em transição entre campo úmido e mata de altitude; formando caules com até 1m de altura; terrestre ou epífita na base dos troncos de árvoretas ou arbustos, ou ainda entre raízes; bainhas formando pseudo-bulbos de até 1 metro de altura, de cor castanho-escuro; planta florida atingindo até 4m de altura; inflorescencia com escapo atropurpúreo, brácteas escapais verdes com nervuras na face dorsal castanho-claro e ápice vinoso; brácteas primárias atropurpúreas; ramos castanho-esverdeado, brácteas florais verdes; flores com calice verde, corola alvacenta; flores passadas com calice verde; frutos imaturos de cor verde; em cultivo JBRJ; amostra de DNA; flores em álcool.";NA;"R. G. Barbosa-Silva";"Brocchinia acuminata L.B.Sm.";"Rio de Janeiro Botanical Garden";"Uiramutã";"RB - Rio de Janeiro Botanical Garden Herbarium Collection";"RB 618153";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"1928763359";"Brocchinia acuminata L.B.Sm.";5.263396;-60.204289;"";"d415c253-4d61-4459-9d25-4015b9084fb0";"ae447c50-b8a8-11d8-92a4-b8a03c50a862";"17017c2c-036b-45d9-b045-606d21b00771";"US";"DWC_ARCHIVE";"2020-02-04T12:58:49.348+0000";"2020-02-10T20:32:50.080+0000";157;"none";"PRESERVED_SPECIMEN";5287587;6;7707728;196;1369;3740;2693409;5287587;5287587;"Brocchinia acuminata L.B.Sm.";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Brocchinia";"Brocchinia acuminata";"Brocchinia";"acuminata";"SPECIES";"ACCEPTED";NA;1380;0;"SOUTH_AMERICA";"Roraima";2014;11;7;"2014-11-07T00:00:00";"2020-02-10T20:32:50.080+0000";"http://creativecommons.org/publicdomain/zero/1.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BR";"Brazil";"18443";"465ff544-740d-47cd-8189-a2a011af2bed";"http://biocol.org/urn:lsid:biocol.org:col:15556";"Uiramutã";"Parque Nacional do Monte Roraima, Monte Caburaí, próximo da divisa com a Guiana, campos úmidos de Rapatecaeae.";NA;"NY";"1928763359";"465ff544-740d-47cd-8189-a2a011af2bed";"PhysicalObject";"02710355";"G. Martinelli";"NY";NA;NA;"http://biocol.org/urn:lsid:biocol.org:col:15556";NA;"Brocchinia acuminata L.B.Sm.";"The New York Botanical Garden";NA;"Vascular plants";NA;"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2995720";"en";"sheet";"4528 ft";"2019-08-20";"7 Nov 2014";"ICN";"Corrected label coordinates";"31";"31";"Google Maps (map data 2019)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"1929984997";"Brocchinia acuminata L.B.Sm.";-8.158889;-60.172222;"gass84";"d415c253-4d61-4459-9d25-4015b9084fb0";"ae447c50-b8a8-11d8-92a4-b8a03c50a862";"17017c2c-036b-45d9-b045-606d21b00771";"US";"DWC_ARCHIVE";"2020-02-04T12:58:49.348+0000";"2020-02-10T20:32:46.721+0000";157;"none";"PRESERVED_SPECIMEN";5287587;6;7707728;196;1369;3740;2693409;5287587;5287587;"Brocchinia acuminata L.B.Sm.";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Brocchinia";"Brocchinia acuminata";"Brocchinia";"acuminata";"SPECIES";"ACCEPTED";NA;NA;NA;"SOUTH_AMERICA";"Roraima";2014;11;7;"2014-11-07T00:00:00";"2020-02-10T20:32:46.721+0000";"http://creativecommons.org/publicdomain/zero/1.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BR";"Brazil";"18443";"9d0def37-2631-46ce-aaa2-9636a15df20d";"http://biocol.org/urn:lsid:biocol.org:col:15556";"Uiramutã";"Parque Nacional do Monte Roraima, Monte Caburaí, próximo da divisa com a Guiana, campos úmidos de Rapatecaeae.";NA;"NY";"1929984997";"9d0def37-2631-46ce-aaa2-9636a15df20d";"PhysicalObject";"02710356";"G. Martinelli";"NY";NA;NA;"http://biocol.org/urn:lsid:biocol.org:col:15556";NA;"Brocchinia acuminata L.B.Sm.";"The New York Botanical Garden";NA;"Vascular plants";NA;"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2995724";"en";"sheet";NA;NA;"7 Nov 2014";"ICN";NA;"31";"31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";"1930212199";"Brocchinia acuminata L.B.Sm.";-8.158889;-60.172222;"gass84";"d415c253-4d61-4459-9d25-4015b9084fb0";"ae447c50-b8a8-11d8-92a4-b8a03c50a862";"17017c2c-036b-45d9-b045-606d21b00771";"US";"DWC_ARCHIVE";"2020-02-04T12:58:49.348+0000";"2020-02-10T20:33:08.209+0000";157;"none";"PRESERVED_SPECIMEN";5287587;6;7707728;196;1369;3740;2693409;5287587;5287587;"Brocchinia acuminata L.B.Sm.";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Brocchinia";"Brocchinia acuminata";"Brocchinia";"acuminata";"SPECIES";"ACCEPTED";NA;NA;NA;"SOUTH_AMERICA";"Roraima";2014;11;7;"2014-11-07T00:00:00";"2020-02-10T20:33:08.209+0000";"http://creativecommons.org/publicdomain/zero/1.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BR";"Brazil";"18443";"ace7f880-c57c-46a0-b8ef-edf6a80e5770";"http://biocol.org/urn:lsid:biocol.org:col:15556";"Uiramutã";"Parque Nacional do Monte Roraima, Monte Caburaí, próximo da divisa com a Guiana, campos úmidos de Rapatecaeae.";NA;"NY";"1930212199";"ace7f880-c57c-46a0-b8ef-edf6a80e5770";"PhysicalObject";"02710357";"G. Martinelli";"NY";NA;NA;"http://biocol.org/urn:lsid:biocol.org:col:15556";NA;"Brocchinia acuminata L.B.Sm.";"The New York Botanical Garden";NA;"Vascular plants";NA;"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2995727";"en";"sheet";NA;NA;"7 Nov 2014";"ICN";NA;"31";"31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2365703130";"Brocchinia acuminata L.B.Sm.";-8.158889;-60.172222;"cdround,gass84";"318730e8-4140-4297-b03c-4d34d0b6e0bd";"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4";"43d575e8-6726-46a9-9464-dca8952b0758";"BR";"DWC_ARCHIVE";"2020-02-05T14:42:38.090+0000";"2020-02-10T19:12:05.291+0000";110;"none";"PRESERVED_SPECIMEN";5287587;6;7707728;196;1369;3740;2693409;5287587;5287587;"Brocchinia acuminata L.B.Sm.";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Brocchinia";"Brocchinia acuminata";"Brocchinia";"acuminata";"SPECIES";"ACCEPTED";NA;NA;NA;"SOUTH_AMERICA";"Roraima";2014;11;7;"2014-11-07T00:00:00";"2020-02-10T19:12:05.291+0000";"http://creativecommons.org/licenses/by-nc/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BR";"Brazil";NA;"MG230145";NA;"Uiramutã";"Parque Nacional do Monte Roraima";NA;"HERBMG";"2365703130";"MG230145";NA;"MG230145";"Martinelli, G.; Nadruz, M.; Azoury, R.; Forzza, R.C.";"MPEG";NA;NA;NA;"Barbosa-Silva, R.G.";"Brocchinia acuminata L.B.Sm.";"Museu Paraense Emílio Goeldi (MPEG)";NA;NA;NA;NA;NA;"exsicata";NA;NA;NA;NA;NA;NA;NA;NA;"Roraima, Uiramutã";"18443";"Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"1318031435";"Brocchinia acuminata L.B.Sm.";6.08847;-60.6659;"gass84";"821cc27a-e3bb-4bc5-ac34-89ada245069d";"bc092ff0-02e4-11dc-991f-b8a03c50a862";"b2ff19b5-d74f-40d2-82f1-ec5db01e8e31";"US";"DWC_ARCHIVE";"2020-02-26T20:45:55.989+0000";"2020-02-26T22:04:18.834+0000";137;"none";"PRESERVED_SPECIMEN";5287587;6;7707728;196;1369;3740;2693409;5287587;5287587;"Brocchinia acuminata L.B.Sm.";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Brocchinia";"Brocchinia acuminata";"Brocchinia";"acuminata";"SPECIES";"ACCEPTED";NA;526;NA;"SOUTH_AMERICA";"Cuyuni-Mazaruni";2004;2;22;"2004-02-22T00:00:00";"2020-02-26T22:04:18.834+0000";"http://creativecommons.org/publicdomain/zero/1.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"GY";"Guyana";"2073";"http://n2t.net/ark:/65665/324a6ca9b-fb99-487b-946c-33d4517c3e4a";"http://biocol.org/urn:lsid:biocol.org:col:34871";NA;"Pakaraima Mts., Mazaruni River, just above ABC Falls. Trail 2.03 miles SW of Base Camp 6 heading E to mining camp site. Trail turn-off leading to Chibama Landing. Moist forest";NA;"Botany";"1318031435";"http://n2t.net/ark:/65665/324a6ca9b-fb99-487b-946c-33d4517c3e4a";"PhysicalObject";"3553820";"K. M. Redden, R. Williams, C. Perry & C. Paul";"US";NA;NA;NA;NA;"Brocchinia acuminata L.B.Sm.";NA;NA;"NMNH Extant Biology";NA;NA;NA;NA;NA;NA;"22 February 2004";NA;NA;"53";"53";NA;"South America - Neotropics, Guyana, Cuyuni-Mazaruni";NA;NA;1;"Dicymbe dominant moist forest on white sand";"Plantae, Monocotyledonae, Bromeliales, Bromeliaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"1456406338";"Brocchinia acuminata L.B.Sm.";6.08847;-60.6659;"gass84";"821cc27a-e3bb-4bc5-ac34-89ada245069d";"bc092ff0-02e4-11dc-991f-b8a03c50a862";"b2ff19b5-d74f-40d2-82f1-ec5db01e8e31";"US";"DWC_ARCHIVE";"2020-02-26T20:45:55.989+0000";"2020-02-26T22:04:39.006+0000";137;"none";"PRESERVED_SPECIMEN";5287587;6;7707728;196;1369;3740;2693409;5287587;5287587;"Brocchinia acuminata L.B.Sm.";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Brocchinia";"Brocchinia acuminata";"Brocchinia";"acuminata";"SPECIES";"ACCEPTED";NA;526;NA;"SOUTH_AMERICA";"Cuyuni-Mazaruni";2004;2;22;"2004-02-22T00:00:00";"2020-02-26T22:04:39.006+0000";"http://creativecommons.org/publicdomain/zero/1.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"GY";"Guyana";"2073";"http://n2t.net/ark:/65665/3dba73f13-3287-4603-a173-7cbacc65cb6d";"http://biocol.org/urn:lsid:biocol.org:col:34871";NA;"Pakaraima Mts., Mazaruni River, just above ABC Falls. Trail 2.03 miles SW of Base Camp 6 heading E to mining camp site. Trail turn-off leading to Chibama Landing. Moist forest";NA;"Botany";"1456406338";"http://n2t.net/ark:/65665/3dba73f13-3287-4603-a173-7cbacc65cb6d";"PhysicalObject";"3553821";"K. M. Redden, R. Williams, C. Perry & C. Paul";"US";NA;NA;NA;"Holst, Bruce K.";"Brocchinia acuminata L.B.Sm.";NA;NA;"NMNH Extant Biology";NA;NA;NA;NA;NA;NA;"22 February 2004";NA;NA;"53";"53";NA;"South America - Neotropics, Guyana, Cuyuni-Mazaruni";NA;NA;1;"Dicymbe dominant moist forest on white sand";"Plantae, Monocotyledonae, Bromeliales, Bromeliaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"1456393363";"Brocchinia acuminata L.B.Sm.";5.82889;-61.1953;"gass84";"821cc27a-e3bb-4bc5-ac34-89ada245069d";"bc092ff0-02e4-11dc-991f-b8a03c50a862";"b2ff19b5-d74f-40d2-82f1-ec5db01e8e31";"US";"DWC_ARCHIVE";"2020-02-26T20:45:55.989+0000";"2020-02-26T22:04:12.636+0000";137;"none";"PRESERVED_SPECIMEN";5287587;6;7707728;196;1369;3740;2693409;5287587;5287587;"Brocchinia acuminata L.B.Sm.";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Brocchinia";"Brocchinia acuminata";"Brocchinia";"acuminata";"SPECIES";"ACCEPTED";NA;1570;NA;"SOUTH_AMERICA";"Cuyuni-Mazaruni";1997;7;13;"1997-07-13T00:00:00";"2020-02-26T22:04:12.636+0000";"http://creativecommons.org/publicdomain/zero/1.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"GY";"Guyana";"5650";"http://n2t.net/ark:/65665/3d59fcf6a-0048-4ce7-bb0c-4d75a5015137";"http://biocol.org/urn:lsid:biocol.org:col:34871";NA;"Paruima, 15 km W; eastern edge of Waukauyengtipu";NA;"Botany";"1456393363";"http://n2t.net/ark:/65665/3d59fcf6a-0048-4ce7-bb0c-4d75a5015137";"PhysicalObject";"3401630";"H. D. Clarke, K. David, C. Chin & C. Perry";"US";NA;NA;NA;"Holst, Bruce K.";"Brocchinia acuminata L.B.Sm.";NA;NA;"NMNH Extant Biology";NA;NA;NA;NA;NA;NA;"13 July 1997";NA;NA;"194";"194";NA;"South America - Neotropics, Guyana, Cuyuni-Mazaruni";NA;NA;1;"Cloud forest on sandstone and peat, with Schefflera, Clusia & Bonnetia";"Plantae, Monocotyledonae, Bromeliales, Bromeliaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA
