"key";"scientificName";"decimalLatitude";"decimalLongitude";"issues";"datasetKey";"publishingOrgKey";"installationKey";"publishingCountry";"protocol";"lastCrawled";"lastParsed";"crawlId";"extensions";"basisOfRecord";"taxonKey";"kingdomKey";"phylumKey";"classKey";"orderKey";"familyKey";"genusKey";"speciesKey";"acceptedTaxonKey";"acceptedScientificName";"kingdom";"phylum";"order";"family";"genus";"species";"genericName";"specificEpithet";"infraspecificEpithet";"taxonRank";"taxonomicStatus";"year";"month";"day";"eventDate";"lastInterpreted";"license";"identifiers";"facts";"relations";"geodeticDatum";"class";"countryCode";"country";"catalogNumber";"institutionCode";"locality";"gbifID";"collectionCode";"name";"individualCount";"dateIdentified";"elevation";"continent";"stateProvince";"modified";"rightsHolder";"nomenclaturalStatus";"recordNumber";"identifier";"nomenclaturalCode";"county";"datasetName";"occurrenceID";"type";"taxonID";"recordedBy";"ownerInstitutionCode";"bibliographicCitation";"collectionID";"identifiedBy";"typeStatus";"higherGeography";"institutionID";"language";"organismID";"datasetID";"accessRights";"higherClassification"
"1";"1288145001";"Deuterocohnia strobilifera var. strobilifera";-20.764167;-66.233617;"cdround,gass84";"966426ce-f762-11e1-a439-00145eb45e9a";"c76cf030-2a95-11da-9cc1-b8a03c50a862";"60383ab8-f762-11e1-a439-00145eb45e9a";"DE";"BIOCASE";"2020-02-19T19:59:24.480+0000";"2020-02-20T23:05:34.080+0000";89;"none";"PRESERVED_SPECIMEN";7070465;6;7707728;196;1369;3740;2699364;2699378;7070465;"Deuterocohnia strobilifera var. strobilifera";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Deuterocohnia";"Deuterocohnia strobilifera";"Deuterocohnia";"strobilifera";"strobilifera";"VARIETY";"ACCEPTED";2006;10;10;"2006-10-10T00:00:00";"2020-02-20T23:05:34.080+0000";"http://creativecommons.org/licenses/by/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BO";"Bolivia, Plurinational State of";"FR-0124127";"FR";"Nor Cinti, 15 km on road from Camargo to Tarija";"1288145001";"Herbarium Senckenbergianum";"Deuterocohnia strobilifera var. strobilifera";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"1288145004";"Deuterocohnia strobilifera var. inermis L.B.Sm.";-20.13195;-65.330833;"cdround,gass84";"966426ce-f762-11e1-a439-00145eb45e9a";"c76cf030-2a95-11da-9cc1-b8a03c50a862";"60383ab8-f762-11e1-a439-00145eb45e9a";"DE";"BIOCASE";"2020-02-19T19:59:24.480+0000";"2020-02-20T23:05:34.078+0000";89;"none";"PRESERVED_SPECIMEN";2699380;6;7707728;196;1369;3740;2699364;2699378;2699380;"Deuterocohnia strobilifera var. inermis L.B.Sm.";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Deuterocohnia";"Deuterocohnia strobilifera";"Deuterocohnia";"strobilifera";"inermis";"VARIETY";"ACCEPTED";2006;10;9;"2006-10-09T00:00:00";"2020-02-20T23:05:34.078+0000";"http://creativecommons.org/licenses/by/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BO";"Bolivia, Plurinational State of";"FR-0124130";"FR";"Jose Maria Linares, 92 km on road from Otavi to Padcayo";"1288145004";"Herbarium Senckenbergianum";"Deuterocohnia strobilifera var. inermis L.B.Sm.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"1288145005";"Deuterocohnia strobilifera var. strobilifera";-20.764167;-66.233617;"cdround,gass84";"966426ce-f762-11e1-a439-00145eb45e9a";"c76cf030-2a95-11da-9cc1-b8a03c50a862";"60383ab8-f762-11e1-a439-00145eb45e9a";"DE";"BIOCASE";"2020-02-19T19:59:24.480+0000";"2020-02-20T23:05:34.130+0000";89;"none";"PRESERVED_SPECIMEN";7070465;6;7707728;196;1369;3740;2699364;2699378;7070465;"Deuterocohnia strobilifera var. strobilifera";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Deuterocohnia";"Deuterocohnia strobilifera";"Deuterocohnia";"strobilifera";"strobilifera";"VARIETY";"ACCEPTED";2006;10;10;"2006-10-10T00:00:00";"2020-02-20T23:05:34.130+0000";"http://creativecommons.org/licenses/by/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BO";"Bolivia, Plurinational State of";"FR-0124128";"FR";"Nor Cinti, 15 km on road from Camargo to Tarija";"1288145005";"Herbarium Senckenbergianum";"Deuterocohnia strobilifera var. strobilifera";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"1288145006";"Deuterocohnia strobilifera var. strobilifera";-21.25805;-65.211117;"cdround,gass84";"966426ce-f762-11e1-a439-00145eb45e9a";"c76cf030-2a95-11da-9cc1-b8a03c50a862";"60383ab8-f762-11e1-a439-00145eb45e9a";"DE";"BIOCASE";"2020-02-19T19:59:24.480+0000";"2020-02-20T23:05:32.906+0000";89;"none";"PRESERVED_SPECIMEN";7070465;6;7707728;196;1369;3740;2699364;2699378;7070465;"Deuterocohnia strobilifera var. strobilifera";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Deuterocohnia";"Deuterocohnia strobilifera";"Deuterocohnia";"strobilifera";"strobilifera";"VARIETY";"ACCEPTED";2006;10;10;"2006-10-10T00:00:00";"2020-02-20T23:05:32.906+0000";"http://creativecommons.org/licenses/by/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BO";"Bolivia, Plurinational State of";"FR-0124132";"FR";"Mendez, 7 km on road from El Puente to Tarija";"1288145006";"Herbarium Senckenbergianum";"Deuterocohnia strobilifera var. strobilifera";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"1288145009";"Deuterocohnia strobilifera var. inermis L.B.Sm.";-20.183883;-65.247217;"cdround,gass84";"966426ce-f762-11e1-a439-00145eb45e9a";"c76cf030-2a95-11da-9cc1-b8a03c50a862";"60383ab8-f762-11e1-a439-00145eb45e9a";"DE";"BIOCASE";"2020-02-19T19:59:24.480+0000";"2020-02-20T23:05:34.141+0000";89;"none";"PRESERVED_SPECIMEN";2699380;6;7707728;196;1369;3740;2699364;2699378;2699380;"Deuterocohnia strobilifera var. inermis L.B.Sm.";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Deuterocohnia";"Deuterocohnia strobilifera";"Deuterocohnia";"strobilifera";"inermis";"VARIETY";"ACCEPTED";2006;10;9;"2006-10-09T00:00:00";"2020-02-20T23:05:34.141+0000";"http://creativecommons.org/licenses/by/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BO";"Bolivia, Plurinational State of";"FR-0124129";"FR";"Nor Cinti, road from Otavi to Padcayo";"1288145009";"Herbarium Senckenbergianum";"Deuterocohnia strobilifera var. inermis L.B.Sm.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";"1288145012";"Deuterocohnia strobilifera var. strobilifera";-21.25805;-65.211117;"cdround,gass84";"966426ce-f762-11e1-a439-00145eb45e9a";"c76cf030-2a95-11da-9cc1-b8a03c50a862";"60383ab8-f762-11e1-a439-00145eb45e9a";"DE";"BIOCASE";"2020-02-19T19:59:24.480+0000";"2020-02-20T23:05:32.944+0000";89;"none";"PRESERVED_SPECIMEN";7070465;6;7707728;196;1369;3740;2699364;2699378;7070465;"Deuterocohnia strobilifera var. strobilifera";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Deuterocohnia";"Deuterocohnia strobilifera";"Deuterocohnia";"strobilifera";"strobilifera";"VARIETY";"ACCEPTED";2006;10;10;"2006-10-10T00:00:00";"2020-02-20T23:05:32.944+0000";"http://creativecommons.org/licenses/by/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BO";"Bolivia, Plurinational State of";"FR-0124126";"FR";"Mendez, 7 km on road from El Puente to Tarija";"1288145012";"Herbarium Senckenbergianum";"Deuterocohnia strobilifera var. strobilifera";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"1288145036";"Deuterocohnia strobilifera var. strobilifera";-21.233883;-65.219717;"cdround,gass84";"966426ce-f762-11e1-a439-00145eb45e9a";"c76cf030-2a95-11da-9cc1-b8a03c50a862";"60383ab8-f762-11e1-a439-00145eb45e9a";"DE";"BIOCASE";"2020-02-19T19:59:24.480+0000";"2020-02-20T23:05:34.130+0000";89;"none";"PRESERVED_SPECIMEN";7070465;6;7707728;196;1369;3740;2699364;2699378;7070465;"Deuterocohnia strobilifera var. strobilifera";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Deuterocohnia";"Deuterocohnia strobilifera";"Deuterocohnia";"strobilifera";"strobilifera";"VARIETY";"ACCEPTED";2006;10;13;"2006-10-13T00:00:00";"2020-02-20T23:05:34.130+0000";"http://creativecommons.org/licenses/by/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BO";"Bolivia, Plurinational State of";"FR-0124146";"FR";"Sud Cinti, 3,5 km on road from El Puente to Impora";"1288145036";"Herbarium Senckenbergianum";"Deuterocohnia strobilifera var. strobilifera";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"1288145037";"Deuterocohnia strobilifera var. strobilifera";-21.233883;-65.219717;"cdround,gass84";"966426ce-f762-11e1-a439-00145eb45e9a";"c76cf030-2a95-11da-9cc1-b8a03c50a862";"60383ab8-f762-11e1-a439-00145eb45e9a";"DE";"BIOCASE";"2020-02-19T19:59:24.480+0000";"2020-02-20T23:05:34.080+0000";89;"none";"PRESERVED_SPECIMEN";7070465;6;7707728;196;1369;3740;2699364;2699378;7070465;"Deuterocohnia strobilifera var. strobilifera";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Deuterocohnia";"Deuterocohnia strobilifera";"Deuterocohnia";"strobilifera";"strobilifera";"VARIETY";"ACCEPTED";2006;10;13;"2006-10-13T00:00:00";"2020-02-20T23:05:34.080+0000";"http://creativecommons.org/licenses/by/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BO";"Bolivia, Plurinational State of";"FR-0124145";"FR";"Sud Cinti, 3,5 km on road from El Puente to Impora";"1288145037";"Herbarium Senckenbergianum";"Deuterocohnia strobilifera var. strobilifera";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"1288145041";"Deuterocohnia strobilifera var. strobilifera";-21.384717;-65.334717;"cdround,gass84";"966426ce-f762-11e1-a439-00145eb45e9a";"c76cf030-2a95-11da-9cc1-b8a03c50a862";"60383ab8-f762-11e1-a439-00145eb45e9a";"DE";"BIOCASE";"2020-02-19T19:59:24.480+0000";"2020-02-20T23:05:32.944+0000";89;"none";"PRESERVED_SPECIMEN";7070465;6;7707728;196;1369;3740;2699364;2699378;7070465;"Deuterocohnia strobilifera var. strobilifera";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Deuterocohnia";"Deuterocohnia strobilifera";"Deuterocohnia";"strobilifera";"strobilifera";"VARIETY";"ACCEPTED";2006;10;13;"2006-10-13T00:00:00";"2020-02-20T23:05:32.944+0000";"http://creativecommons.org/licenses/by/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BO";"Bolivia, Plurinational State of";"FR-0124144";"FR";"Sud Cinti, 69 km on road from El Puente, between Impora and Hornillos";"1288145041";"Herbarium Senckenbergianum";"Deuterocohnia strobilifera var. strobilifera";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"1288145043";"Deuterocohnia strobilifera var. inermis L.B.Sm.";-20.369167;-65.531383;"cdround,gass84";"966426ce-f762-11e1-a439-00145eb45e9a";"c76cf030-2a95-11da-9cc1-b8a03c50a862";"60383ab8-f762-11e1-a439-00145eb45e9a";"DE";"BIOCASE";"2020-02-19T19:59:24.480+0000";"2020-02-20T23:05:32.981+0000";89;"none";"PRESERVED_SPECIMEN";2699380;6;7707728;196;1369;3740;2699364;2699378;2699380;"Deuterocohnia strobilifera var. inermis L.B.Sm.";"Plantae";"Tracheophyta";"Poales";"Bromeliaceae";"Deuterocohnia";"Deuterocohnia strobilifera";"Deuterocohnia";"strobilifera";"inermis";"VARIETY";"ACCEPTED";2006;10;14;"2006-10-14T00:00:00";"2020-02-20T23:05:32.981+0000";"http://creativecommons.org/licenses/by/4.0/legalcode";"none";"none";"none";"WGS84";"Liliopsida";"BO";"Bolivia, Plurinational State of";"FR-0124143";"FR";"Nor Cichas, 151 km on road from Tupiza to Potosi, between Tumusia and Vitichy";"1288145043";"Herbarium Senckenbergianum";"Deuterocohnia strobilifera var. inermis L.B.Sm.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
